[NN] | transplantation | transplant | 0-0 | 0.6666666666666666 | OtherRelated
[NNS] | schoolteachers | teachers | 0-0 |0.5714285714285714| ForwardEntailment
[NN] | hunting | hunt | 0-0 |0.5714285714285714| Equivalence
[VBD] | guysare | guys | 0-0 |0.5714285714285714| Independent
[CD] | assists | help | 0-0 |0.5714285714285714| OtherRelated
[JJ] | calming | calm | 0-0 |0.5714285714285714| Equivalence
[JJ] | scanner | scan | 0-0 |0.5714285714285714| ReverseEntailment
[JJ] | opening | open | 0-0 |0.5714285714285714| Equivalence
[NNP] | betting | bets | 0-0 |0.5714285714285714| Equivalence
[RB] | fucking | fuck | 0-0 |0.5714285714285714| Equivalence
[VBD] | dressed | wore | 0-0 |0.5714285714285714| ReverseEntailment
[VBN] | abovementioned | obtained | 0-0 |0.5714285714285714| Independent
[JJ] | capable | able | 0-0 |0.5714285714285714| ForwardEntailment
[VBZ] | representative | reflects | 0-0 |0.5714285714285714| Independent
[VBZ] | article | rule | 0-0 |0.5714285714285714| Independent
[VBD] | concentrations | reported | 0-0 |0.5714285714285714| Independent
[VBN] | decommissioned | detained | 0-0 |0.5714285714285714| Independent
[NN] | culling | cull | 0-0 |0.5714285714285714| Equivalence
[NNP] | testing | test | 0-0 |0.5714285714285714| OtherRelated
[JJ] | finfish | fish | 0-0 |0.5714285714285714| OtherRelated
[NNS] | outlets | outs | 0-0 |0.5714285714285714| ForwardEntailment
[NN] | thawing | thaw | 0-0 |0.5714285714285714| Equivalence
[VBZ] | authorizations | licences | 0-0 |0.5714285714285714| OtherRelated
[UH] | motherfrakkers | bastards | 0-0 |0.5714285714285714| Independent
[VBN] | enjoyed | nice | 0-0 |0.5714285714285714| Independent
[VBN] | differentiated | detailed | 0-0 |0.5714285714285714| Independent
[UH] | motherfrakkers | amateurs | 0-0 |0.5714285714285714| Independent
[JJ] | thorough-going | thorough | 0-0 |0.5714285714285714| ForwardEntailment
[JJ] | woollen | wool | 0-0 |0.5714285714285714| ForwardEntailment
[JJ] | killing | kill | 0-0 |0.5714285714285714| OtherRelated
[VBP] | website | site | 0-0 |0.5714285714285714| OtherRelated
[NNS] | urban-dwellers | dwellers | 0-0 |0.5714285714285714| ForwardEntailment
[VBN] | congratulating | welcomed | 0-0 |0.5714285714285714| Independent
[VBD] | renamed | name | 0-0 |0.5714285714285714| ForwardEntailment
[NN] | nesting | nest | 0-0 |0.5714285714285714| Equivalence
[NNS] | hostage-takers | hostages | 0-0 |0.5714285714285714| ReverseEntailment
[NNP] | tramway | tram | 0-0 |0.5714285714285714| Equivalence
[VBZ] | differentiates | diverges | 0-0 |0.5714285714285714| Independent
[NNP] | copying | copy | 0-0 |0.5714285714285714| OtherRelated
[JJ] | massive | mass | 0-0 |0.5714285714285714| OtherRelated
[NNS] | batters | bats | 0-0 |0.5714285714285714| ForwardEntailment
[NN] | bombing | bomb | 0-0 |0.5714285714285714| OtherRelated
[JJ] | eastern | east | 0-0 |0.5714285714285714| Equivalence
[NNS] | kiddies | kids | 0-0 |0.5714285714285714| ReverseEntailment
[VBP] | guysare | guys | 0-0 |0.5714285714285714| Independent
[NNS] | investigations | enquires | 0-0 |0.5714285714285714| Independent
[VBN] | enjoyed | felt | 0-0 |0.5714285714285714| Independent
[NNS] | cations | ions | 0-0 |0.5714285714285714| ForwardEntailment
[JJS] | bestest | best | 0-0 |0.5714285714285714| Equivalence
[NN] | seaport | port | 0-0 |0.5714285714285714| ReverseEntailment
[VBZ] | obtains | gain | 0-0 |0.5714285714285714| Equivalence
[VBZ] | intends | ends | 0-0 |0.5714285714285714| Independent
[NN] | soybean | soya | 0-0 |0.5714285714285714| Equivalence
[NNS] | faggots | fags | 0-0 |0.5714285714285714| ForwardEntailment
[NN] | welding | weld | 0-0 |0.5714285714285714| Equivalence
[VBZ] | selects | sets | 0-0 |0.5714285714285714| Independent
[VBZ] | demands | need | 0-0 |0.5714285714285714| Independent
[JJ] | ranking | rank | 0-0 |0.5714285714285714| Equivalence
[VBD] | identification | obtained | 0-0 |0.5714285714285714| Independent
[VBZ] | reconstruction | includes | 0-0 |0.5714285714285714| Independent
[JJ] | western | west | 0-0 |0.5714285714285714| OtherRelated
[VBZ] | enables | help | 0-0 |0.5714285714285714| OtherRelated
[NNS] | authorisations | consents | 0-0 |0.5714285714285714| OtherRelated
[NNS] | investigations | inquires | 0-0 |0.5714285714285714| Independent
[VBN] | inconvenienced | troubled | 0-0 |0.5714285714285714| Independent
[NN] | pumping | pump | 0-0 |0.5714285714285714| Equivalence
[NNS] | subsets | sets | 0-0 |0.5714285714285714| ReverseEntailment
[NNS] | communications | accounts | 0-0 |0.5714285714285714| Independent
[NN] | playing | play | 0-0 |0.5714285714285714| OtherRelated
[NNS] | hundred | tens | 0-0 |0.5714285714285714| Independent
[NNS] | faggots | fags | 0-0 |0.5714285714285714| ReverseEntailment
[VBD] | re-established | returned | 0-0 |0.5714285714285714| Independent
[VBN] | differentiated | modified | 0-0 |0.5714285714285714| Independent
[VBZ] | settles | sets | 0-0 |0.5714285714285714| Independent
[JJ] | scanner | scan | 0-0 |0.5714285714285714| ForwardEntailment
[NN] | rooftop | roof | 0-0 |0.5714285714285714| OtherRelated
[NNPS] | purpose | uses | 0-0 |0.5714285714285714| Independent
[NNS] | daddies | dads | 0-0 |0.5714285714285714| ForwardEntailment
[VBZ] | authorisations | licences | 0-0 |0.5714285714285714| OtherRelated
[NN] | linkage | link | 0-0 |0.5714285714285714| ReverseEntailment
[VBN] | undernourished | underfed | 0-0 |0.5714285714285714| Equivalence
[NN] | cooking | cook | 0-0 |0.5714285714285714| Equivalence
[NNP] | western | west | 0-0 |0.5714285714285714| OtherRelated
[NN] | iranian | iran | 0-0 |0.5714285714285714| ReverseEntailment
[VBG] | characterizing | defining | 0-0 |0.5714285714285714| Independent
[NN] | viewing | view | 0-0 |0.5714285714285714| Equivalence
[JJ] | al-sadr | sadr | 0-0 |0.5714285714285714| ForwardEntailment
[VBZ] | praises | hail | 0-0 |0.5714285714285714| Independent
[JJ] | resting | rest | 0-0 |0.5714285714285714| Equivalence
[VBD] | awaited | wait | 0-0 |0.5714285714285714| ForwardEntailment
[NNS] | establishments | settings | 0-0 |0.5714285714285714| OtherRelated
[NNPS] | communications | sciences | 0-0 |0.5714285714285714| Independent
[VBN] | implementation | enforced | 0-0 |0.5714285714285714| OtherRelated
[VBZ] | travels | trip | 0-0 |0.5714285714285714| OtherRelated
[VBG] | decisionmaking | deciding | 0-0 |0.5714285714285714| Independent
[VBN] | assists | help | 0-0 |0.5714285714285714| OtherRelated
[VBZ] | payment | pays | 0-0 |0.5714285714285714| ForwardEntailment
[NNS] | communications | telecoms | 0-0 |0.5714285714285714| OtherRelated
[JJ] | arabian | arab | 0-0 |0.5714285714285714| ForwardEntailment
[NNS] | accommodations | premises | 0-0 |0.5714285714285714| OtherRelated
[VBN] | unarmed | arms | 0-0 |0.5714285714285714| ReverseEntailment
[VBN] | communications | required | 0-0 |0.5714285714285714| Independent
[NN] | locking | lock | 0-0 |0.5714285714285714| Equivalence
[VBZ] | railway | rail | 0-0 |0.5714285714285714| ReverseEntailment
[JJ] | low-technology | low-tech | 0-0 |0.5714285714285714| OtherRelated
[VBN] | re-established | repaired | 0-0 |0.5714285714285714| Independent
[NN] | lifting | lift | 0-0 |0.5714285714285714| Equivalence
[JJ] | co-chairperson | co-chair | 0-0 |0.5714285714285714| OtherRelated
[JJ] | non-nuclear-weapons | non-nuclear | 0-0 |0.5789473684210527| ForwardEntailment
[NN] | directorate-general | directorate | 0-0 |0.5789473684210527| ForwardEntailment
[NNS] | secretaries-general | secretaries | 0-0 |0.5789473684210527| ForwardEntailment
[NNS] | secretaries-general | secretaries | 0-0 |0.5789473684210527| ReverseEntailment
[VBZ] | importations | imports | 0-0 |0.5833333333333334| ReverseEntailment
[NNPS] | instructions | prompts | 0-0 |0.5833333333333334| Independent
[NNS] | pastoralists | pastors | 0-0 |0.5833333333333334| ForwardEntailment
[VBZ] | incorporates | employs | 0-0 |0.5833333333333334| Independent
[NNS] | marketplaces | markets | 0-0 |0.5833333333333334| ReverseEntailment
[JJ] | interminable | endless | 0-0 |0.5833333333333334| Equivalence
[VBN] | familiarised | advised | 0-0 |0.5833333333333334| Independent
[VBD] | facilitating | enabled | 0-0 |0.5833333333333334| Independent
[JJ] | questionable | dubious | 0-0 |0.5833333333333334| Equivalence
[VBN] | reimbursable | rebated | 0-0 |0.5833333333333334| Independent
[VBN] | acknowledged | alleged | 0-0 |0.5833333333333334| Independent
[NNS] | capabilities | capable | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | requirements | demands | 0-0 |0.5833333333333334| Independent
[VBZ] | manufactures | creates | 0-0 |0.5833333333333334| Independent
[NNS] | relationship | reports | 0-0 |0.5833333333333334| Independent
[NNS] | replacements | replace | 0-0 |0.5833333333333334| ReverseEntailment
[VBN] | acknowledged | learned | 0-0 |0.5833333333333334| Independent
[VBZ] | participates | accepts | 0-0 |0.5833333333333334| Independent
[VBG] | illustrating | quoting | 0-0 |0.5833333333333334| Independent
[VBZ] | compensation | repairs | 0-0 |0.5833333333333334| OtherRelated
[JJ] | never-ending | endless | 0-0 |0.5833333333333334| Equivalence
[VBZ] | incorporates | affects | 0-0 |0.5833333333333334| Independent
[NNS] | propositions | notions | 0-0 |0.5833333333333334| Independent
[VBD] | reclassified | revised | 0-0 |0.5833333333333334| Independent
[VBZ] | reintroduces | retains | 0-0 |0.5833333333333334| Independent
[VBD] | transitioned | shifted | 0-0 |0.5833333333333334| ForwardEntailment
[VBN] | disseminated | located | 0-0 |0.5833333333333334| Independent
[VBN] | disseminated | rotated | 0-0 |0.5833333333333334| Independent
[VBN] | collaborated | engaged | 0-0 |0.5833333333333334| Independent
[VBN] | manufactured | created | 0-0 |0.5833333333333334| Independent
[NNS] | moneylenders | lenders | 0-0 |0.5833333333333334| ForwardEntailment
[VBZ] | observations | remarks | 0-0 |0.5833333333333334| ReverseEntailment
[VBN] | hypothesized | implied | 0-0 |0.5833333333333334| Independent
[VBN] | incorporated | infused | 0-0 |0.5833333333333334| Independent
[VBN] | incorporated | adapted | 0-0 |0.5833333333333334| Independent
[NNS] | complexities | complex | 0-0 |0.5833333333333334| ForwardEntailment
[VBD] | transitioned | changed | 0-0 |0.5833333333333334| ReverseEntailment
[VBN] | reconsidered | revised | 0-0 |0.5833333333333334| Independent
[JJ] | illegitimate | illegal | 0-0 |0.5833333333333334| Equivalence
[VBG] | examinations | testing | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | reconstructs | returns | 0-0 |0.5833333333333334| Independent
[VB] | re-establish | rebuild | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | participates | adheres | 0-0 |0.5833333333333334| Independent
[VBZ] | demonstrates | deploys | 0-0 |0.5833333333333334| Independent
[NNS] | fingerprints | fingers | 0-0 |0.5833333333333334| OtherRelated
[VBD] | implementing | imposed | 0-0 |0.5833333333333334| Independent
[VBZ] | consolidates | extends | 0-0 |0.5833333333333334| Independent
[NNS] | over-flights | flights | 0-0 |0.5833333333333334| ForwardEntailment
[VBZ] | participates | accedes | 0-0 |0.5833333333333334| Independent
[VBN] | administered | steered | 0-0 |0.5833333333333334| Independent
[NN] | improvements | improve | 0-0 |0.5833333333333334| OtherRelated
[VBN] | demonstrated | created | 0-0 |0.5833333333333334| Independent
[VBZ] | perpetrators | authors | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | guaranteeing | secures | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | incorporates | inserts | 0-0 |0.5833333333333334| Independent
[VBZ] | acknowledges | alleges | 0-0 |0.5833333333333334| Independent
[JJ] | turkmenistan | turkmen | 0-0 |0.5833333333333334| OtherRelated
[NNS] | compensation | incomes | 0-0 |0.5833333333333334| Independent
[NNS] | notification | notices | 0-0 |0.5833333333333334| Equivalence
[VBD] | restructured | altered | 0-0 |0.5833333333333334| Independent
[VBN] | acknowledged | thanked | 0-0 |0.5833333333333334| Independent
[VBZ] | investigates | probing | 0-0 |0.5833333333333334| Independent
[NNS] | shareholders | holders | 0-0 |0.5833333333333334| ForwardEntailment
[JJ] | long-lasting | lasting | 0-0 |0.5833333333333334| ReverseEntailment
[VBZ] | consolidates | fosters | 0-0 |0.5833333333333334| Independent
[VBZ] | demonstrates | creates | 0-0 |0.5833333333333334| Independent
[JJ] | ostrich-like | ostrich | 0-0 |0.5833333333333334| OtherRelated
[VBN] | investigated | revised | 0-0 |0.5833333333333334| Independent
[VBN] | participated | located | 0-0 |0.5833333333333334| Independent
[VBZ] | incorporates | invests | 0-0 |0.5833333333333334| Independent
[VBG] | agricultural | farming | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | significance | matters | 0-0 |0.5833333333333334| Independent
[VBZ] | entertaining | amusing | 0-0 |0.5833333333333334| Equivalence
[VBZ] | recalculates | updates | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | investigates | reviews | 0-0 |0.5833333333333334| Independent
[NN] | abbreviation | acronym | 0-0 |0.5833333333333334| OtherRelated
[VBD] | congratulate | thanked | 0-0 |0.5833333333333334| Independent
[VBZ] | demonstrates | display | 0-0 |0.5833333333333334| Independent
[NNS] | exportations | exports | 0-0 |0.5833333333333334| ReverseEntailment
[VBN] | demonstrated | denoted | 0-0 |0.5833333333333334| Independent
[VBN] | reconsidered | revoked | 0-0 |0.5833333333333334| Independent
[VBN] | hypothesized | assumed | 0-0 |0.5833333333333334| Independent
[NNS] | alternatives | choices | 0-0 |0.5833333333333334| Independent
[VBG] | establishing | creates | 0-0 |0.5833333333333334| Independent
[VBZ] | demonstrates | reminds | 0-0 |0.5833333333333334| Independent
[VBZ] | observations | advises | 0-0 |0.5833333333333334| Independent
[VBZ] | relinquishes | refuses | 0-0 |0.5833333333333334| Independent
[JJ] | self-evident | evident | 0-0 |0.5833333333333334| OtherRelated
[VBN] | synchronized | synched | 0-0 |0.5833333333333334| Equivalence
[RB] | considerably | greatly | 0-0 |0.5833333333333334| Equivalence
[VBD] | acknowledged | alleged | 0-0 |0.5833333333333334| Independent
[VBN] | transplanted | planted | 0-0 |0.5833333333333334| ReverseEntailment
[VBN] | renegotiated | renewed | 0-0 |0.5833333333333334| Independent
[VB] | strengthened | enhance | 0-0 |0.5833333333333334| Independent
[VBN] | classifiable | classed | 0-0 |0.5833333333333334| Independent
[VBZ] | stipulations | defines | 0-0 |0.5833333333333334| Independent
[VBG] | interlocking | locking | 0-0 |0.5833333333333334| ForwardEntailment
[VBZ] | investigates | studies | 0-0 |0.5833333333333334| Independent
[VBN] | marginalized | ignored | 0-0 |0.5833333333333334| Independent
[VBN] | reintroduced | renewed | 0-0 |0.5833333333333334| Independent
[VBD] | resettlement | settled | 0-0 |0.5833333333333334| ForwardEntailment
[VBN] | verification | checked | 0-0 |0.5833333333333334| Equivalence
[VBG] | transforming | reforms | 0-0 |0.5833333333333334| Independent
[NNS] | stimulations | stimuli | 0-0 |0.5833333333333334| Equivalence
[VBD] | manufactured | created | 0-0 |0.5833333333333334| Independent
[VBN] | incorporated | existed | 0-0 |0.5833333333333334| Independent
[VBG] | traceability | tracing | 0-0 |0.5833333333333334| ReverseEntailment
[JJ] | surrealistic | surreal | 0-0 |0.5833333333333334| Equivalence
[NNS] | instructions | inserts | 0-0 |0.5833333333333334| Independent
[VBD] | attributable | related | 0-0 |0.5833333333333334| Independent
[VBZ] | cancellation | cancels | 0-0 |0.5833333333333334| ForwardEntailment
[VBD] | corresponded | replied | 0-0 |0.5833333333333334| Independent
[VBN] | appropriated | applied | 0-0 |0.5833333333333334| Independent
[VBN] | reintroduced | rebuilt | 0-0 |0.5833333333333334| Independent
[NN] | hopelessness | despair | 0-0 |0.5833333333333334| Equivalence
[VBZ] | collaborates | engages | 0-0 |0.5833333333333334| OtherRelated
[JJ] | 20-foot-long | 20-foot | 0-0 |0.5833333333333334| ForwardEntailment
[VBD] | investigated | analyse | 0-0 |0.5833333333333334| Independent
[UH] | observations | remarks | 0-0 |0.5833333333333334| ReverseEntailment
[VBN] | participated | acceded | 0-0 |0.5833333333333334| Independent
[VBD] | guaranteeing | assured | 0-0 |0.5833333333333334| OtherRelated
[VBD] | relationship | related | 0-0 |0.5833333333333334| Independent
[VBN] | reformulated | altered | 0-0 |0.5833333333333334| Independent
[VBZ] | perspectives | matters | 0-0 |0.5833333333333334| Independent
[NNS] | instructions | matters | 0-0 |0.5833333333333334| Independent
[RB] | courageously | bravely | 0-0 |0.5833333333333334| Equivalence
[NNPS] | examinations | reviews | 0-0 |0.5833333333333334| Equivalence
[NNS] | heavyweights | weights | 0-0 |0.5833333333333334| ReverseEntailment
[VBZ] | incorporates | injects | 0-0 |0.5833333333333334| Independent
[NNS] | restorations | repairs | 0-0 |0.5833333333333334| ForwardEntailment
[NNS] | perpetrators | factors | 0-0 |0.5833333333333334| Independent
[VBD] | administered | existed | 0-0 |0.5833333333333334| Independent
[VBD] | acknowledged | realise | 0-0 |0.5833333333333334| Independent
[NNS] | transporters | porters | 0-0 |0.5833333333333334| ForwardEntailment
[NNS] | moneylenders | lenders | 0-0 |0.5833333333333334| ReverseEntailment
[VBN] | incorporated | altered | 0-0 |0.5833333333333334| Independent
[VBZ] | incorporates | teaches | 0-0 |0.5833333333333334| Independent
[NNS] | eliminations | removes | 0-0 |0.5833333333333334| OtherRelated
[VBN] | consolidated | located | 0-0 |0.5833333333333334| Independent
[VBZ] | destabilizes | impairs | 0-0 |0.5833333333333334| Independent
[VBN] | instantiated | created | 0-0 |0.5833333333333334| Independent
[UH] | examinations | reviews | 0-0 |0.5833333333333334| Equivalence
[VBD] | applications | appeals | 0-0 |0.5833333333333334| Independent
[VBN] | renegotiated | revived | 0-0 |0.5833333333333334| Independent
[NNS] | expectations | expects | 0-0 |0.5833333333333334| Independent
[VBG] | contributing | helping | 0-0 |0.5833333333333334| Independent
[VBN] | accommodated | created | 0-0 |0.5833333333333334| Independent
[VBZ] | demonstrates | depicts | 0-0 |0.5833333333333334| Independent
[VBD] | participates | entered | 0-0 |0.5833333333333334| Independent
[VBN] | instructions | ordered | 0-0 |0.5833333333333334| OtherRelated
[VBG] | appreciation | valuing | 0-0 |0.5833333333333334| OtherRelated
[VBN] | incorporated | denoted | 0-0 |0.5833333333333334| Independent
[VBD] | participated | entered | 0-0 |0.5833333333333334| Independent
[NNS] | contributors | factors | 0-0 |0.5833333333333334| Independent
[VBN] | re-evaluated | revised | 0-0 |0.5833333333333334| Independent
[JJ] | high-skilled | skilled | 0-0 |0.5833333333333334| ForwardEntailment
[JJ] | anti-fascist | fascist | 0-0 |0.5833333333333334| ForwardEntailment
[VBN] | comprehended | grasped | 0-0 |0.5833333333333334| Independent
[VBZ] | accommodates | denotes | 0-0 |0.5833333333333334| Independent
[VBD] | acknowledged | commend | 0-0 |0.5833333333333334| OtherRelated
[NNS] | exportations | exports | 0-0 |0.5833333333333334| ForwardEntailment
[NNS] | implications | notions | 0-0 |0.5833333333333334| Independent
[VBZ] | reservations | retains | 0-0 |0.5833333333333334| Independent
[VBN] | reconsidered | amended | 0-0 |0.5833333333333334| Independent
[VBN] | concentrated | fixated | 0-0 |0.5833333333333334| Independent
[VBG] | provisioning | provide | 0-0 |0.5833333333333334| Independent
[VBZ] | necessitates | creates | 0-0 |0.5833333333333334| Independent
[VBD] | acknowledged | knowing | 0-0 |0.5833333333333334| ReverseEntailment
[NNS] | restrictions | imposes | 0-0 |0.5833333333333334| Independent
[VBN] | administered | managed | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | determinants | factors | 0-0 |0.5833333333333334| Independent
[VBD] | reconstitute | resumed | 0-0 |0.5833333333333334| Independent
[VBN] | re-appointed | renewed | 0-0 |0.5833333333333334| Independent
[VBN] | interspersed | stopped | 0-0 |0.5833333333333334| Independent
[VBZ] | participates | attends | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | acknowledges | affirms | 0-0 |0.5833333333333334| Independent
[JJ] | good-quality | quality | 0-0 |0.5833333333333334| ForwardEntailment
[NNS] | photocopiers | copiers | 0-0 |0.5833333333333334| ReverseEntailment
[VBG] | constructing | costing | 0-0 |0.5833333333333334| Independent
[VBZ] | collaborates | liaises | 0-0 |0.5833333333333334| Independent
[VBN] | restructured | amended | 0-0 |0.5833333333333334| Independent
[NNS] | deliverables | deliver | 0-0 |0.5833333333333334| OtherRelated
[JJ] | entertaining | amusing | 0-0 |0.5833333333333334| Equivalence
[VBN] | reformulated | refined | 0-0 |0.5833333333333334| Independent
[VBN] | disseminated | updated | 0-0 |0.5833333333333334| Independent
[VBN] | demonstrated | donated | 0-0 |0.5833333333333334| Independent
[NNS] | transactions | actions | 0-0 |0.5833333333333334| Independent
[VBN] | repatriation | removed | 0-0 |0.5833333333333334| Independent
[NNS] | instructions | scripts | 0-0 |0.5833333333333334| Independent
[VBZ] | incorporates | permits | 0-0 |0.5833333333333334| Independent
[VBN] | underwritten | written | 0-0 |0.5833333333333334| Independent
[VBN] | incorporated | enacted | 0-0 |0.5833333333333334| Independent
[VBD] | acknowledged | accused | 0-0 |0.5833333333333334| OtherRelated
[VB] | congratulate | commend | 0-0 |0.5833333333333334| OtherRelated
[VBD] | co-ordinated | oversaw | 0-0 |0.5833333333333334| Independent
[NNS] | watercourses | courses | 0-0 |0.5833333333333334| ReverseEntailment
[VBD] | strengthened | stepped | 0-0 |0.5833333333333334| Independent
[VBD] | observations | revised | 0-0 |0.5833333333333334| Independent
[VBD] | administered | managed | 0-0 |0.5833333333333334| OtherRelated
[VBN] | exterminated | removed | 0-0 |0.5833333333333334| Independent
[NNS] | requirements | matters | 0-0 |0.5833333333333334| Independent
[VBZ] | stipulations | imposes | 0-0 |0.5833333333333334| Independent
[VBN] | acknowledged | ignored | 0-0 |0.5833333333333334| Independent
[VBN] | participated | related | 0-0 |0.5833333333333334| Independent
[NNS] | consequences | outcome | 0-0 |0.5833333333333334| Independent
[VBN] | consolidated | created | 0-0 |0.5833333333333334| Independent
[VB] | implementing | enforce | 0-0 |0.5833333333333334| OtherRelated
[VBD] | participated | related | 0-0 |0.5833333333333334| Independent
[VBZ] | incriminates | creates | 0-0 |0.5833333333333334| Independent
[VBN] | investigated | inquiry | 0-0 |0.5833333333333334| Independent
[VBZ] | declarations | returns | 0-0 |0.5833333333333334| OtherRelated
[VBN] | circumvented | removed | 0-0 |0.5833333333333334| Independent
[VBN] | reformulated | updated | 0-0 |0.5833333333333334| Independent
[VBZ] | concentrates | focuses | 0-0 |0.5833333333333334| OtherRelated
[VBN] | hypothesized | alleged | 0-0 |0.5833333333333334| Independent
[VBZ] | refoulements | returns | 0-0 |0.5833333333333334| Independent
[VBN] | administered | treated | 0-0 |0.5833333333333334| Independent
[VBN] | reformulated | renewed | 0-0 |0.5833333333333334| Independent
[NNS] | interchanges | sharing | 0-0 |0.5833333333333334| Independent
[VBZ] | registration | records | 0-0 |0.5833333333333334| OtherRelated
[VBN] | disseminated | advised | 0-0 |0.5833333333333334| Independent
[VBN] | acknowledged | obliged | 0-0 |0.5833333333333334| Independent
[VBN] | reconfigured | changed | 0-0 |0.5833333333333334| Independent
[VBZ] | implications | results | 0-0 |0.5833333333333334| Independent
[VBZ] | incorporates | extends | 0-0 |0.5833333333333334| Independent
[JJ] | concentrated | focused | 0-0 |0.5833333333333334| Equivalence
[NNS] | heavyweights | weights | 0-0 |0.5833333333333334| ForwardEntailment
[VBZ] | demonstrates | devotes | 0-0 |0.5833333333333334| Independent
[VBZ] | criminalises | imposes | 0-0 |0.5833333333333334| Independent
[VBN] | well-managed | managed | 0-0 |0.5833333333333334| ForwardEntailment
[NNS] | descriptions | ratings | 0-0 |0.5833333333333334| Independent
[VBZ] | incorporates | obtains | 0-0 |0.5833333333333334| Independent
[NNS] | explanations | reasons | 0-0 |0.5833333333333334| Independent
[VBZ] | participates | submits | 0-0 |0.5833333333333334| Independent
[VB] | confirmation | confirm | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | incorporates | appears | 0-0 |0.5833333333333334| Independent
[VBZ] | participates | creates | 0-0 |0.5833333333333334| Independent
[NNS] | supermarkets | markets | 0-0 |0.5833333333333334| ForwardEntailment
[VBZ] | accomplishes | fulfils | 0-0 |0.5833333333333334| Independent
[RB] | particularly | notably | 0-0 |0.5833333333333334| Equivalence
[JJ] | long-lasting | lasting | 0-0 |0.5833333333333334| ForwardEntailment
[VBZ] | hypothesized | assumes | 0-0 |0.5833333333333334| Independent
[VBN] | strengthened | stepped | 0-0 |0.5833333333333334| Independent
[VBZ] | commemorates | reminds | 0-0 |0.5833333333333334| Independent
[VBZ] | acknowledges | asserts | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | reformations | reforms | 0-0 |0.5833333333333334| ReverseEntailment
[VBZ] | concentrates | relates | 0-0 |0.5833333333333334| Independent
[VBZ] | participates | catches | 0-0 |0.5833333333333334| Independent
[VBN] | discontinued | quitted | 0-0 |0.5833333333333334| Independent
[VBZ] | accommodates | handles | 0-0 |0.5833333333333334| OtherRelated
[VBD] | precipitated | incited | 0-0 |0.5833333333333334| Independent
[VBN] | investigated | managed | 0-0 |0.5833333333333334| Independent
[VBD] | crash-landed | crashed | 0-0 |0.5833333333333334| ReverseEntailment
[NNS] | watercourses | courses | 0-0 |0.5833333333333334| ForwardEntailment
[VBZ] | commemorates | salutes | 0-0 |0.5833333333333334| Independent
[VBN] | accommodated | mutated | 0-0 |0.5833333333333334| Independent
[VBZ] | coefficients | factors | 0-0 |0.5833333333333334| Independent
[VBZ] | incorporates | gathers | 0-0 |0.5833333333333334| Independent
[VBN] | communicated | written | 0-0 |0.5833333333333334| Independent
[VBZ] | deliberately | intends | 0-0 |0.5833333333333334| Independent
[VBN] | accommodated | catered | 0-0 |0.5833333333333334| Independent
[VB] | strengthened | bolster | 0-0 |0.5833333333333334| Equivalence
[NNS] | supermarkets | markets | 0-0 |0.5833333333333334| ReverseEntailment
[VBZ] | consolidates | expands | 0-0 |0.5833333333333334| Independent
[VBD] | differential | existed | 0-0 |0.5833333333333334| Independent
[VBD] | preparations | drafted | 0-0 |0.5833333333333334| Independent
[VBZ] | commemorates | denotes | 0-0 |0.5833333333333334| Independent
[VBN] | reconsidered | altered | 0-0 |0.5833333333333334| Independent
[NNPS] | coefficients | factors | 0-0 |0.5833333333333334| Equivalence
[VBG] | homeawaiting | waiting | 0-0 |0.5833333333333334| ForwardEntailment
[VBD] | transitioned | shifted | 0-0 |0.5833333333333334| ReverseEntailment
[VBZ] | demonstrates | attests | 0-0 |0.5833333333333334| Independent
[VBN] | reconsidered | renewed | 0-0 |0.5833333333333334| Independent
[VBN] | well-managed | managed | 0-0 |0.5833333333333334| ReverseEntailment
[VBZ] | reintroduces | regains | 0-0 |0.5833333333333334| Independent
[NNPS] | consequences | results | 0-0 |0.5833333333333334| Equivalence
[NNPS] | arrangements | matters | 0-0 |0.5833333333333334| Independent
[VBN] | participated | adhered | 0-0 |0.5833333333333334| Independent
[VBZ] | facilitating | assists | 0-0 |0.5833333333333334| Independent
[VBZ] | requirements | imposes | 0-0 |0.5833333333333334| Independent
[VBZ] | applications | applies | 0-0 |0.5833333333333334| Independent
[VBZ] | participates | gathers | 0-0 |0.5833333333333334| OtherRelated
[VBG] | homeawaiting | waiting | 0-0 |0.5833333333333334| ReverseEntailment
[VBZ] | necessitates | entails | 0-0 |0.5833333333333334| Independent
[NNS] | endorsements | support | 0-0 |0.5833333333333334| OtherRelated
[VBZ] | acknowledges | reports | 0-0 |0.5833333333333334| Independent
[VBZ] | participates | belongs | 0-0 |0.5833333333333334| Independent
[VBZ] | acknowledges | informs | 0-0 |0.5833333333333334| Independent
[NN] | spectrometer | spectra | 0-0 |0.5833333333333334| Independent
